Time	ax	ay	vx	vy	Height	Mass	Density
0	0	0	0	0	0	344040	1.225
1	7.389741759766031e-15	110.88190923090842	7.389741759766031e-15	110.88190923090842	110.88190923090842	344040.0	1.225
2	1.2637730394911302	110.75936047039049	1.2637730394911375	221.6412697012989	332.5231789322073	342917.4703557312	1.208981387156621
3	2.5356659262887162	110.79142916796665	3.7994389657798537	332.43269886926555	664.9558778014729	341794.94071146246	1.1775901820488184
4	3.8155320960923733	110.60545168036886	7.614971061872227	443.0381505496344	1107.9940283511073	340672.41106719367	1.1320366847334526
5	5.1031511067538755	110.23903716672518	12.718122168626103	553.2771877163595	1661.2712160674669	339549.8814229249	1.0740679085015703
6	6.398257199016751	109.74349519689562	19.116379367642853	663.0206829132552	2324.291898980722	338427.3517786561	1.0058460513665144
7	7.700577642690758	109.17828561649974	26.81695701033361	772.1989685297549	3096.490867510477	337304.82213438733	0.929803640546267
8	9.009874049687241	108.60490253819792	35.82683106002085	880.8038710679529	3977.29473857843	336182.2924901186	0.8484906213540144
9	10.325979414188744	108.08109326335276	46.152810474209595	988.8849643313056	4966.179702909736	335059.7628458498	0.7644279654596148
10	11.648824634985795	107.65613092970139	57.80163510919539	1096.541095261007	6062.720798170743	333937.23320158105	0.6799797277303347
11	12.97845037379674	107.36757039226377	70.78008548299212	1203.9086656532709	7266.629463824014	332814.70355731226	0.5972516809250844
12	14.31500278368995	107.23961146272052	85.09508826668207	1311.1482771159913	8577.777740940006	331692.17391304346	0.5180205618429788
13	15.658714330448099	107.28294379737058	100.75380259713017	1418.4312209133618	9996.208961853368	330569.6442687747	0.4436942698967152
14	17.00987314322558	107.49578891504187	117.76367574035575	1525.9270098284037	11522.135971681771	329447.1146245059	0.37530049423183476
15	18.368785758422412	107.86578782215472	136.13246149877816	1633.7927976505584	13155.92876933233	328324.5849802372	0.31349935544943913
16	19.73573864533388	108.37238621563237	155.86820014411202	1742.1651838661908	14898.09395319852	327202.0553359684	0.2586146710678847
17	21.11096357497565	108.98941464516109	176.97916371908767	1851.1545985113519	16749.248551709872	326079.5256916996	0.21067821336598405
18	22.494610885367766	109.68762336584489	199.47377460445543	1960.8422218771968	18710.090773587068	324956.99604743085	0.16948161393274475
19	23.88673324595202	110.43699450936258	223.36050785040746	2071.2792163865593	20781.369989973628	323834.46640316205	0.13463118976485053
20	25.28728089141623	111.20870998071206	248.6477887418237	2182.4879263672715	22963.857916340898	322711.9367588933	0.10560177143315531
21	26.696107727943225	111.97670068112035	275.3438964697669	2294.464627048392	25258.322543389288	321589.4071146245	0.08178649807483689
22	28.112986418359693	112.71874279551469	303.4568828881266	2407.1833698439063	27665.505913233195	320466.8774703557	0.06254043371654677
23	29.537629670710928	113.4171018826653	332.9945125588375	2520.600471726572	30186.106384959767	319344.347826087	0.04721670340848613
24	30.969714557063238	114.05875618946722	363.96422711590077	2634.659227916039	32820.7656128758	318221.8181818182	0.03519460731016958
25	32.40890676817773	114.6352563526524	396.37313388407847	2749.2944842686916	35570.060097144495	317099.28853754944	0.025899816032786297
26	33.854882188200705	115.14229785888526	430.22801607227916	2864.436782127577	38434.49687927207	315976.75889328064	0.01881725902345217
27	35.30734392425061	115.57909362453167	465.5353599965298	2980.0158757521085	41414.512755024174	314854.22924901184	0.013497677205901946
28	36.76603379717927	115.94763590642924	502.30139379370905	3095.9635116585378	44510.476266682716	313731.6996047431	0.009559020858902204
29	38.23073814470272	116.25192981858295	540.5321319384118	3212.2154414771207	47722.69170815984	312609.1699604743	0.006683945461737513
30	39.70128848852373	116.49726668979218	580.2334204269355	3328.7127081669128	51051.404416326746	311486.6403162055	0.004614614273520965
31	41.17755809989267	116.68958700321346	621.4109785268281	3445.4022951701263	54496.80671149687	310364.11067193677	0.003145886271182139
32	42.6594557396691	116.83496272531593	664.0704342664972	3562.2372578954423	58059.04396939232	309241.58102766797	0.002117784065438653
33	44.14691786932173	116.93921021552833	708.2173521358189	3679.1764681109707	61738.22043750329	308119.05138339923	0.0014079292615949402
34	45.63990047884633	117.00762964258266	753.8572526146653	3796.1840977535535	65534.40453525684	306996.52173913043	0.0009244281104830175
35	47.138371421068044	117.0448560111342	800.9956240357334	3913.2289537646875	69447.63348902154	305873.9920948617	0.0005995068440582134
36	48.64230384353366	117.05480070053345	849.6379278792671	4030.283754465221	73477.91724348677	304751.4624505929	0.0003840449162610675
37	50.15167102217549	117.04066030439533	899.7895989014426	4147.324414769617	77625.24165825639	303628.9328063241	0.0002430397759813965
38	51.66644266110987	117.00497057787742	951.4560415625524	4264.329385347494	81889.57104360388	302506.40316205536	0.00015195778668513677
39	53.186582548379675	116.94968634815635	1004.642624110932	4381.279071695651	86270.85011529953	301383.87351778656	9.387797219795529e-05
40	54.71204735090686	116.87627229558476	1059.354671461839	4498.155343991235	90769.00545929077	300261.34387351776	5.7312108341578225e-05
41	56.24278628533724	116.78579374904436	1115.5974577471761	4614.941137740279	95383.94659703106	299138.814229249	3.457957523475959e-05
42	57.77874140082858	116.67900049900872	1173.3761991480046	4731.620138239288	100115.56673527035	298016.2845849802	2.0622147876209602e-05
43	59.31984823945182	116.55639980507767	1232.6960473874565	4848.176538044366	104963.74327331471	296893.7549407115	1.2157413362371908e-05
44	60.866036685342834	116.41831715315223	1293.5620840727993	4964.594855197518	109928.33812851223	295771.2252964427	7.085903093204415e-06
45	62.417231863680186	116.26494493432544	1355.9793159364795	5080.859800131843	115009.19792864408	294648.6956521739	4.083675668213925e-06
46	63.973354997197475	116.09638018840538	1419.952670933677	5196.956180320249	120206.15410896433	293526.16600790515	2.3273735086606548e-06
47	65.5343241668776	115.91265302902099	1485.4869951005546	5312.86883334927	125519.0229423136	292403.63636363635	1.3118918556091995e-06
48	67.10005495304495	115.71374749380318	1552.5870500535996	5428.582580843074	130947.60552315667	291281.1067193676	7.314873853324191e-07
49	68.67046095347985	115.4996164717048	1621.2575110070793	5544.082197314779	136491.68772047144	290158.5770750988	4.035094159781192e-07
