Time	Velocity	Acceleration	Mass	Height
0	0	0	344040	0
1	110.88190923090842	110.88190923090842	344040.0	110.88190923090842
2	221.6448726163077	110.76657011077505	342917.4703557312	332.5231789322073
3	332.4544104293978	110.82044206178892	341794.94071146246	664.9558778014729
4	443.10358904743	110.67124390100041	340672.41106719367	1107.9940283511073
5	553.4233434531109	110.35709069500237	339549.8814229249	1661.2712160674669
6	663.2962097968651	109.92985232963711	338427.3517786561	2324.291898980722
7	772.6644784003672	109.44951779788298	337304.82213438733	3096.490867510477
8	881.5322008367557	108.97799174935597	336182.2924901186	3977.29473857843
9	989.9613904568176	108.5732405883872	335059.7628458498	4966.179702909736
10	1098.0634784098347	108.28452171076742	333937.23320158105	6062.720798170743
11	1205.9875188972808	108.14913474477186	332814.70355731226	7266.629463824014
12	1313.9067617724427	108.19082018069882	331692.17391304346	8577.777740940006
13	1422.005083394413	108.41967240456114	330569.6442687747	9996.208961853368
14	1530.464479381254	108.83326889704207	329447.1146245059	11522.135971681771
15	1639.4544680254328	109.41864773763622	328324.5849802372	13155.92876933233
16	1749.1239017552998	110.1547705455697	327202.0553359684	14898.09395319852
17	1859.595378565034	111.01515791890225	326079.5256916996	16749.248551709872
18	1970.9622030498838	111.9704525244564	324956.99604743085	18710.090773587068
19	2083.287668254701	112.99073316615062	323834.46640316205	20781.369989973628
20	2196.606307826942	114.04746270941546	322711.9367588933	22963.857916340898
21	2310.9266942288477	115.11500190353631	321589.4071146245	25258.322543389288
22	2426.2353257310474	116.17166170267286	320466.8774703557	27665.505913233195
23	2542.5011471900093	117.20030104921636	319344.347826087	30186.106384959767
24	2659.680282639854	118.1885065614855	318221.8181818182	32820.7656128758
25	2777.7206163499122	119.12841490151193	317099.28853754944	35570.060097144495
26	2896.5659365218803	120.01625641637554	315976.75889328064	38434.49687927207
27	3016.159443918989	120.85170837871334	314854.22924901184	41414.512755024174
28	3136.44651727527	121.63714693080074	313731.6996047431	44510.476266682716
29	3257.376709581183	122.37687904842795	312609.1699604743	47722.69170815984
30	3378.905017264061	123.07642119366955	311486.6403162055	51051.404416326746
31	3500.9925135305907	123.74187248482447	310364.11067193677	54496.80671149687
32	3623.606466381985	124.37941018927027	309241.58102766797	58059.04396939232
33	3746.720072459082	124.99491686941579	308119.05138339923	61738.22043750329
34	3870.3119333403465	125.59373356300378	306996.52173913043	65534.40453525684
35	3994.365385678514	126.18052297758835	305873.9920948617	69447.63348902154
36	4118.86777525053	126.75922092790037	304751.4624505929	73477.91724348677
37	4243.80974168675	127.33305254648292	303628.9328063241	77625.24165825639
38	4369.184558446121	127.90459114974612	302506.40316205536	81889.57104360388
39	4494.987553515449	128.47584092002572	301383.87351778656	86270.85011529953
